NO,TextOnThisLaw
276,"ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่นต้องระวางโทษจำคุกตั้งแต่สี่ปีถึงยี่สิบปี และปรับตั้งแต่แปดพันบาทถึงสี่หมื่นบาท
การกระทำชำเราตามวรรคหนึ่ง หมายความว่าการกระทำเพื่อสนองความใคร่ของผู้กระทำโดย การใช้อวัยวะเพศของผู้กระทำกระทำกับอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น หรือการใช้สิ่งอื่นใดกระทำกับอวัยวะเพศหรือทวารหนักของผู้อื่น
ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกันต้องระวางโทษจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปี และปรับตั้งแต่สามหมื่นบาทถึงสี่หมื่นบาท หรือจำคุกตลอดชีวิต
ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำความผิดระหว่างคู่สมรสและคู่สมรสนั้น ยังประสงค์จะอยู่กินด้วยกันฉันสามีภริยา ศาลจะลงโทษน้อยกว่าที่กฎหมายกำหนดไว้เพียงใดก็ได้ หรือจะกำหนดเงื่อนไขเพื่อคุมความประพฤติแทนการลงโทษก็ได้ ในกรณีที่ศาลมีคำพิพากษาให้ลงโทษจำคุก และคู่สมรสฝ่ายใดฝ่ายหนึ่งไม่ประสงค์จะอยู่กินด้วยกันฉันสามีภริยาต่อไป และประสงค์จะหย่า ให้คู่สมรสฝ่ายนั้นแจ้งให้ศาลทราบ และให้ศาลแจ้งพนักงานอัยการให้ดำเนินการฟ้องหย่าให้"
277,"ผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ต้องระวางโทษจำคุกตั้งแต่สี่ปีถึงยี่สิบปี และปรับตั้งแต่แปดพันบาทถึงสี่หมื่นบาท
การกระทำชำเราตามวรรคหนึ่ง หมายความว่าการกระทำเพื่อสนองความใคร่ของผู้กระทำ โดยการใช้อวัยวะเพศของผู้กระทำกระทำกับอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น หรือการใช้สิ่งอื่นใดกระทำกับอวัยวะเพศหรือทวารหนักของผู้อื่น
ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี ต้องระวางโทษจำคุกตั้งแต่เจ็ดปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นสี่พันบาทถึงสี่หมื่นบาท หรือจำคุกตลอดชีวิต
ถ้าการกระทำความผิดตามวรรคหนึ่งหรือวรรคสามได้กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธ ต้องระวางโทษจำคุกตลอดชีวิต
ความผิดตามที่บัญญัติไว้ในวรรคหนึ่ง ถ้าเป็นการกระทำโดยบุคคลอายุไม่เกินสิบแปดปีกระทำ ต่อเด็กซึ่งมีอายุกว่าสิบสามปี แต่ยังไม่เกินสิบห้าปี โดยเด็กนั้นยินยอม และภายหลังศาลอนุญาตให้ทั้งสองฝ่ายสมรสกัน ผู้กระทำผิดไม่ต้องรับโทษ ถ้าศาลอนุญาตให้สมรสในระหว่างที่ผู้กระทำผิดกำลังรับโทษในความผิดนั้นอยู่ ให้ศาลปล่อยผู้กระทำความผิดนั้นไป"
277ทวิ(1),ถ้าการกระทำความผิดตาม มาตรา 276 วรรคหนึ่ง หรือ มาตรา 277 วรรคหนึ่งหรือวรรคสาม เป็นเหตุให้ผู้ถูกกระทำ รับอันตรายสาหัส ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปีและปรับตั้งแต่ สามหมื่นบาทถึงสี่หมื่นบาท หรือจำคุกตลอดชีวิต
277ทวิ(2),มาตรา 277ทวิ ถ้าการกระทำความผิดตาม มาตรา 276 วรรคหนึ่ง หรือ มาตรา 277 วรรคหนึ่งหรือวรรคสาม เป็นเหตุให้ผู้ถูกกระทำ ถึงแก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
277ตรี(1),ถ้าการกระทำความผิดตาม มาตรา 276 วรรคสาม หรือ มาตรา 277 วรรคสี่ เป็นเหตุให้ผู้ถูกกระทำ รับอันตรายสาหัส ผู้กระทำต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
277ตรี(2),ถ้าการกระทำความผิดตาม มาตรา 276 วรรคสาม หรือ มาตรา 277 วรรคสี่ เป็นเหตุให้ผู้ถูกกระทำ ถึงแก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิต
278,ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่น ต้องระวางโทษจำคุกไม่เกินสิบปี หรือปรับไม่เกิน สองหมื่นบาท หรือทั้งจำทั้งปรับ
279,"ผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ต้องระวางโทษจำคุกไม่เกินสิบปี หรือปรับไม่เกินสองหมื่นบาท หรือทั้งจำทั้งปรับ
ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่น ต้องระวางโทษจำคุกไม่เกินสิบห้าปี หรือปรับไม่เกิน สามหมื่นบาท หรือทั้งจำทั้งปรับ"
280(1),ถ้าการกระทำความผิดตาม มาตรา 278 หรือ มาตรา 279 เป็นเหตุให้ผู้ถูกกระทำ รับอันตรายสาหัส ผู้กระทำต้องระวางโทษจำคุกตั้งแต่ห้าปี ถึงยี่สิบปีและปรับตั้งแต่หนึ่งหมื่นบาทถึงสี่หมื่นบาท
280(2),ถ้าการกระทำความผิดตาม มาตรา 278 หรือ มาตรา 279 เป็นเหตุให้ผู้ถูกกระทำ ถึงแก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิตหรือจำคุกตลอดชีวิต
