,NO,Text
0,276,ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่น การกระทำชำเราตามวรรคหนึ่ง หมายความว่าการกระทำเพื่อสนองความใคร่ของผู้กระทำโดย การใช้อวัยวะเพศของผู้กระทำกระทำกับอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น หรือการใช้สิ่งอื่นใดกระทำกับอวัยวะเพศหรือทวารหนักของผู้อื่น ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกัน
1,277,ผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม การกระทำชำเราตามวรรคหนึ่ง หมายความว่าการกระทำเพื่อสนองความใคร่ของผู้กระทำ โดยการใช้อวัยวะเพศของผู้กระทำกระทำกับอวัยวะเพศ ทวารหนัก หรือช่องปากของผู้อื่น หรือการใช้สิ่งอื่นใดกระทำกับอวัยวะเพศหรือทวารหนักของผู้อื่น ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี ถ้าการกระทำความผิดตามวรรคหนึ่งหรือวรรคสามได้กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธ ถ้าเป็นการกระทำโดยบุคคลอายุไม่เกินสิบแปดปีกระทำ ต่อเด็กซึ่งมีอายุกว่าสิบสามปี แต่ยังไม่เกินสิบห้าปี โดยเด็กนั้นยินยอม และภายหลังศาลอนุญาตให้ทั้งสองฝ่ายสมรสกัน 
2,277ทวิ(1),ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่นรับอันตรายสาหัสผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม รับอันตรายสาหัสถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี รับอันตรายสาหัส
3,277ทวิ(2),ผู้ใดข่มขืนกระทำชำเราผู้อื่นโดยขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้ายโดยผู้อื่นนั้นอยู่ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้ผู้อื่นนั้นเข้าใจผิดว่าตนเป็นบุคคลอื่นถึงแก่ความตาย ผู้ใดกระทำชำเราเด็กอายุยังไม่เกินสิบห้าปีซึ่งมิใช่ภริยาหรือสามีของตน โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถึงแก่ความตาย ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นการกระทำแก่เด็กอายุยังไม่เกินสิบสามปี ถึงแก่ความตาย 
4,277ตรี(1),ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกันรับอันตรายสาหัส กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธรับอันตรายสาหัส 
5,277ตรี(2),ถ้าการกระทำความผิดตามวรรคหนึ่งได้กระทำโดยมีหรือใช้อาวุธปืนหรือวัตถุระเบิด หรือโดยร่วมกระทำความผิดด้วยกันอันมีลักษณะเป็นการโทรมหญิง หรือกระทำกับชายในลักษณะเดียวกันถึงแก่ความตาย กระทำโดยร่วมกระทำความผิดด้วยกัน อันมีลักษณะเป็นการโทรมเด็กหญิงหรือกระทำกับเด็กชายในลักษณะเดียวกันและเด็กนั้นไม่ยินยอม หรือได้กระทำโดยมีอาวุธปืนหรือวัตถุระเบิด หรือโดยใช้อาวุธถึงแก่ความตาย 
6,278,ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่น
7,279,ผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่น
8,280(1),ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่นรับอันตรายสาหัสผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่นรับอันตรายสาหัส
9,280(2),ผู้ใดกระทำอนาจารแก่บุคคลอายุกว่าสิบห้าปีโดย ขู่เข็ญด้วยประการใด ๆ โดยใช้กำลังประทุษร้าย โดยบุคคลนั้นอยู่ ในภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้บุคคลนั้นเข้าใจผิดว่า ตนเป็นบุคคลอื่นถึงแก่ความตาย ผู้ใดกระทำอนาจารแก่เด็กอายุยังไม่เกินสิบห้าปี โดยเด็กนั้นจะยินยอมหรือไม่ก็ตาม ถ้าการกระทำความผิดตามวรรคแรก ผู้กระทำได้กระทำโดย ขู่เข็ญด้วยประการใดๆ โดยใช้กำลังประทุษร้าย โดยเด็กนั้นอยู่ใน ภาวะที่ไม่สามารถขัดขืนได้ หรือโดยทำให้เด็กนั้นเข้าใจผิดว่าตน เป็นบุคคลอื่นถึงแก่ความตาย 
