word,related word
กฎหมายแผ่นดิน,กฏหมาย
กบฎ,"นอกรีต, คนทรยศ"
ก่อการร้าย,"คุกคาม, ข่มขวัญ"
กาย,"ร่างกาย, ตัว"
การพิจารณาคดี,การสอบสวนคดี
การรบ,"ศึก, ต่อสู้, สงคราม"
การอนาจาร,"หยาบคาย, โป๊, ลามก"
กำลัง,แรง
กำลังพล,กองทัพ
กิจการ,งาน
ข้อความ,"ข้อมูล, ข่าว, ข่าวกรอง"
เท็จ,"ปลอม, เทียม, โกหก, หลอกลวง, ลวง, ปด"
ของ,"สิ่งของ, วัตถุ"
ของแข็ง,หิน
ของปลอม,การปลอมแปลง
ของมึนเมา,"สุรา, เหล้า, เบียร์"
ข้าศึก,ศัตรู
คณะบุคคล,กลุ่มคน
คนกลาง,พ่อค้า
คนจำหน่ายยา,คนขายยา
คนชรา,"คนแก่, เฒ่า"
คนไทย,ประชาชน
คนป่วย,"ผู้ป่วย, คนไข้"
ความคิดเห็น,"แนวคิด, ความคิด"
ความใคร่,"ใคร่, ตัณหา"
ความเท็จ,"โกหก, ปลอม, เรื่องโกหก"
ความปลอดภัย,"ป้องกัน, สวัสดิภาพ, ความมั่นคง"
ความลับ,"ความไม่เปิดเผย, ความปิดบัง, ความใน"
ค่าไถ่,ไถ่ตัว
ค่าย,ที่พัก
คำรับรอง,คำยืนยัน
คำสั่ง,ระเบียบ
เครื่องกล,"เครื่องจักร, เครื่องยนต์"
เครื่องชั่ง,"ตาชั่ง, สมดุล"
เครื่องดื่ม,"สุรา, เหล้า, เบียร์"
เครื่องตวง,"มาตรการ, เครื่องวัด"
เครื่องแบบ,"เครื่องแต่งกาย, เสื้อผ้า"
เครื่องประดับ,"อุปกรณ์, สิ่งประดับ, เครื่องตกแต่ง"
เครื่องมือ,"อุปกรณ์, ข้าวของเครื่องใช้, เครื่องใช้สอย, เครื่องไม้เครื่องมือ"
เครื่องวัด,"ไม้วัด, ไม้บรรทัด, มาตราวัด, ตาชั่ง"
เครื่องหมายการค้า,ยี่ห้อ
เครื่องหมายของเจ้าพนักงาน,ยศ
เคหสถาน,"บ้าน, ที่อยู่อาศัย, ที่พำนัก"
โฆษณา,"ประชาสัมพันธ์, ประกาศ, เผยแพร่"
จดหมาย,"หนังสือ, อักษร, เอกสาร, ตัวหนังสือ"
จิตใจ,"ใจ, จิต, หัวใจ"
เจ้าพนักงาน,"เจ้าหน้าที่, ข้าราชการ, นายตำรวจ, เจ้าพนักงานในตําแหน่งตุลาการ, เจ้าพนักงานผู้มีอํานาจสืบสวนคดีอาญา"
เจ้าหนี้,เจ้าเบี้ย
ชีวิต,"ชีพ, ชีวา"
ชื่อ,"ชื่อตัว, นาม, สกุล, ฉายา"
ซ่องโจร,"รัง, กลุ่ม"
ดวงตรา,"เครื่องหมาย, ตราประจำตำแหน่ง, ดวงตราแผ่นดิน"
เด็ก,"บุตร, ทารก, ลูกหลาน, วัยหนุ่มวัยสาว"
ตั๋ว,"ตั๋วเงิน, ตั๋วโดยสาร"
ตำรวจ,"เจ้าหน้าที่, ข้าราชการ, นายตำรวจ, เจ้าพนักงานในตําแหน่งตุลาการ, เจ้าพนักงานผู้มีอํานาจสืบสวนคดีอาญา"
ถึงแก่ความตาย,"ตาย, มรณะ, ดับ, ถึงแก่กรรม, สิ้นอายุ"
ทรัพย์,"ทรัพย์สิน, ทรัพย์สินของรัฐ"
ทหาร,"นักรบ, กองทัพ"
คมนาคม,"เดินทาง, ขนส่ง"
ทาส,"บ่าว, ขี้ข้า, ข้ารับใช้"
ท่าอากาศยาน,สนามบิน
ที่จอดรถสาธารณะ,ที่จอดรถ
ที่จอดเรือสาธารณะ,ที่จอดเรือ
ที่ประชุม,"ประชุม, การประชุม, ชุมนุม"
ที่พำนัก,"ที่อยู่, ที่อาศัย"
ที่อยู่,ที่พำนัก
โทรเลข,"แฟ็ก, สื่อ, ไปรษณีย์"
ธง,เครื่องหมาย
นักบวช,"นักพรต, พระ, เถรวาท, บาทหลวง, นักธรรม"
นักพรต,"นักบวช, พระ, เถรวาท, บาทหลวง, นักธรรม"
น้ำ,ของเหลว
บ่อ,"หลุม, น้ำ"
บัตร,"การ์ด, นามบัตร, บัตรเงินฝาก, บัตรอิเล็กทรอนิกส์"
บุคคล,คน
วิกลจริต,"บ้า, ประสาท, คุ้มดีคุ้มร้าย"
บุพการี,"บรรพบุรุษ, ผู้ปกครอง, พ่อ, แม่, บิดา, มารดา"
ใบสำคัญของใบหุ้น,"ใบสำคัญของใบหุ้นกู้, ใบหุ้น, ใบหุ้นกู้"
ปฏิกูล,"ฝุ่น, ผง, ละออง, ขยะ, การขับถ่าย, ขี้, มูล, ของสกปรก"
ปรปักษ์,"ศัตรู, คู่ปรับ, ปฏิปักษ์, คู่อริ, คู่อาฆาต"
ประกาศ,"แจ้ง, เปิดเผย, แถลง"
ประชาชน,"คน, ชาว, มนุษย์, ชน, ราษฎร"
ประเทศชาติ,"ชาติ, ประชาชาติ, บ้านเมือง"
ประมุข,"หัวหน้า, หัว, ราชา, ผู้นำ"
ประโยชน์,"รายได้, สิทธิพิเศษ, คุณค่า, ผลกำไร"
ปศุสัตว์,"วัวควาย, โคเนื้อ"
ป้อม,"ป้อมปราการ, หอคอย"
ป้าย,"ฉลาก, สัญลักษณ์, เครื่องหมาย, แผ่นจารึก"
ปืน,"ยิง, อาวุธปืน"
สมาชิก,ผู้เข้าร่วม
ผู้กระทําความผิด,"ผู้ต้องหา, ผู้ร้าย, ผู้กระทำผิด, ผู้กระทำผิดกฎหมาย"
ผู้ช่วย,"ผู้ส่งเสริม, ผู้สนับสนุน, ผู้อนุเคราะห์"
ผู้ซึ่งค้าประเวณี,"ขายตัว, โสเภณี"
ผู้ตาย,"คนตาย, ผู้เสียชีวิต"
ผู้แทนรัฐต่างประเทศ,"ตัวแทน, ผู้แทน, รัฐฑูต"
ผู้พิพากษา,"ตุลาการ, ศาล"
ผู้สำเร็จราชการแทนพระองค์,ผู้สำเร็จราชการ
ผู้สืบสันดาน,ลูก
ผู้อยู่ในความควบคุม,ลูกน้อง
แผ่นเสียง,สิ่งบันทึก
พนักงานสอบสวน,ตำรวจ
พนักงานอัยการ,ผู้พิพากษา
พระปรมาภิไธย,พระราชา
พระพุทธรูป,"พระ, พุทธรูป"
