word,related word
ก่อให้เกิด,"ทำให้, สร้าง"
กักขัง,"จองจำ, กักตัว, กัก"
แกล้ง,"แสร้ง, ป่วน, ปั่นป่วน"
ข่มขืน,"ขืนใจ, โทรม, ชำเรา"
ขอให้,"ให้, อนุญาต"
ขัดขวาง,"ขวาง, ขัด"
ขัดขืน,ดื้อดึง
ขุด,"คุ้ย, ขุดคุ้ย"
ขู่เข็ญ,"บังคับ, เค้น, ควบคุม"
เข้าไป,"เข้า, บุก"
เข้าร่วม,"ร่วม, ร่วมมือ"
แขวน,ห้อย
คบคิด,"สมคบคิด, สมคบ"
ครอบครอง,แสดงความเป็นเจ้าของ
จด,เขียน
จัดหา,หา
จำหน่าย,"ขาย, เสนอขาย"
จูงใจ,ทำให้สนใจ
เจตนา,"เจตจำนง, ตั้งใจ"
แจ้ง,"บอก, รายงาน"
แจ้ง,"รายงาน, บอก"
แจ้งความ,แจ้ง
ฉ้อโกง,โกง
ช่วย,"ช่อยเหลือ, ส่งเสริม"
ชัก,"ดึง, ลาก"
ชักชวน,ชวน
ชิงทรัพย์,"ลักลอบ, ลัก"
ซ่อน,"ปกปิด, ซ่อนเร้น, ปิดบัง"
ซ่อนเร้น,"ปิดบัง, เสแสร้ง"
ซื้อ,จับจ่าย
ดำรงชีพ,ครองชีพ
ดูแล,เอาใจใส่
ตระเตรียม,เตรียม
ต่อสู้,สู้
ตัดทอน,ตัดออก
ติดตั้ง,จัดให้
แต่งกาย,แต่งตัว
ถอน,"ถอย, เลิก, เพิก"
ถาม,ไถ่ถาม
ถือเอา,ยึด
ทราบ,รู้
ทอดทิ้ง,"ละทิ้ง, ทิ้ง"
ทะเลาะ,วิวาท
ทารุณ,โหดเหี้ยม
ทำ,"กระทำ, ปฏิบัติ"
ทำปลอม,"ปลอม, ปลอมแปลง, เทียม"
ทําให้เสียหาย,ทำลาย
แท้ง,ทำแท้ง
นำเข้า,นำมา
นําออก,เบิก
แนะนำ,"แนะ, นำ, ชี้ช่อง, เสนอแนะ"
บอกเล่า,"บอก, เล่า, พูด, กล่าว"
เบิกความ,"ยืนยัน, พิสูจน์"
เบียดบัง,ยักยอก
แบ่งแยก,แยก
ปฏิบัติ,ทำ
ประชุม,ชุมนุม
ประทุษร้าย,"ทำร้าย, ใช้กำลัง"
ปลงพระชนม์,"ฆ่า, พยายามฆ่า"
ป้องกัน,"ป้อง, กัน, ปกป้อง, รักษา"
เปิด,"เปิดออก, เปิดผนึก, เปิดเผย"
แปล,ตีความ
แปลง,เปลี่ยน
ฝ่าฝืน,ละเมิด
พก,"ถือ, พามา"
พราก,แยก
พาไป,"นำพา, พา, ชักจูง"
แพร่,กระจาย
ฟ้อง,"ฟ้องร้อง, กล่าวหา"
มอบหมาย,"กำหนด, แต่งตั้ง"
มี,"ได้, เอา"
ยอมรับ,รับ
ย้าย,เคลื่อน
ยินยอม,"ยอม, ตกลง"
ยุยง,"ปลุกระดม, ปลุกปั่น"
รบ,ต่อสู้
รับ,"ยอมรับ, ได้รับ"
รับรอง,รับประกัน
รู้,"ทราบ, เข้าใจ, ล่วงรู้"
เรียก,เรียกร้อง
ลบ,ขีดฆ่า
ล้มล้าง,ล้ม
ล่วงละเมิด,เบียดเบียน
ล่อไป,"ล่อลวง, จูงใจ"
ละเว้น,"งด, ระงับ"
ลักทรัพย์,"ขโมย, ฉวย"
เลียน,"ลอก, ปลอม"
แลกเปลี่ยน,"เปลี่ยนแปลง, เปลี่ยน"
แลกเปลี่ยน,แลก
ไล่,"กำจัด, ขับ, ขับไล่"
วางเพลิง,เผา
ส่งออก,ส่ง
สนอง,ตอบสนอง
สนับสนุน,ส่งเสริม
สวม,ใส่
สะสม,รวบรวม
สั่งให้เลิก,ยุติ
สูญหาย,"สาบสูญ, หาย"
แสดง,"ปรากฎ, เปิดเผย"
ใส่ความ,"ใส่ร้าย, กล่าวหา"
หน่วงเหนี่ยว,กักขัง
หลอกลวง,หลอก
เห็น,"ดู, พบ, ชม, มอง"
เหยียดหยาม,"หยาม, หมิ่น, เหยียด, ดูหมิ่น, หมิ่นประมาท"
แหก,"หนี, หลบหนี"
ให้,"มอบ, ส่งให้"
อนาจาร,"หยาบคาย, โป๊"
อนุญาต,อนุมัติ
อ้าง,อ้างอิง
อุบาย,วางแผน
อุปการะ,"เกื้อกูล, อุดหนุน, สนับสนุน"
เอา,"ได้, เก็บได้, ได้มา"
